0	456
457	898
899	1067
1068	1103
1104	1155
1157	1344
1345	1500
1501	1545
1547	1711
1712	1772
1773	1837
1838	1891
1892	1992
1994	2035
2036	2056
2057	2079
2080	2101
2102	2119
2120	2146
2148	2360
2362	2627
2628	2745
2746	2804
2805	2851
2852	2940
2941	3064
3065	3134
3135	3186
3187	3220
3221	3369
3370	3489
3490	3610
3611	3680
3681	3720
3721	3842
3843	3988
3989	4181
4182	4243
4244	4299
4300	4374
4375	4457
4458	4689
4690	4784
4785	4904
4905	4995
4996	5378
5379	5671
5672	5892
5893	6033
6034	6509
6510	6692
6693	6918
